,Hidrocarburos líquidos (produccion),Petróleo crudo (produccion),Condensados y líquidos del gas (produccion),Gas natural  (MMpcd) (produccion),Petrolíferos y gas licuado (1) (produccion),Petroquímicos (Mt) (2) (produccion),Naftas (Mt) (produccion),Proceso de crudo (produccion),Petrolíferos y gas licuado (volumen-ventas int),Gas licuado (3) (volumen-ventas int),Gasolinas automotrices (volumen-ventas int),Pemex Magna (volumen-ventas int),Pemex Premium (volumen-ventas int),Turbosina (volumen-ventas int),Diesel (volumen-ventas int),Combustóleo (volumen-ventas int),Otros (4) (volumen-ventas int),Gas natural (Mmpcd) (volumen-ventas int),Petroquímicos (Mt) (volumen-ventas int),Complejos Petroquímicos (5) (volumen-ventas int),Sistema Nacional de Refinación (volumen-ventas int),Complejos Procesadores de Gas (6) (volumen-ventas int),Petrolíferos y gas licuado (MM$),Gas licuado (3) (MM$),Gasolinas automotrices (MM$),Pemex Magna (MM$),Pemex Premium (MM$),Turbosina (MM$),Diesel (MM$),Combustóleo  (MM$),Otros (4)  (MM$),Gas natural  (MM$),Petroquímicos  (MM$),Complejos Petroquímicos (5)  (MM$),Sistema Nacional de Refinación  (MM$),Complejos Procesadores de Gas (6)  (MM$),Exportación neta de hidrocarburos líquidos (volumen),Exportación de petróleo crudo (volumen),Exportaciones Petrolíferos y gas licuado (volumen),Importaciones Petrolíferos y gas licuado (volumen),Exportación neta de gas natural (MMpcd) (volumen),Importaciones Petroquímicos (Mt) (volumen),Exportación de petróleo crudo (MMUS$),Exportaciones Petrolíferos y gas licuado (MMUS$),Importaciones Petrolíferos y gas licuado (MMUS$),Exportación neta de gas natural (Mmpcd) (MMUS$),Importaciones Petroquímicos (Mt) (MMUS$),Petróleo crudo (8) (US$/b),Maya US$/b,Combustóleo (alto azufre) (US$/b),Gas Licuado (US$/b),Gasolinas (US$/b),Gas natural (US$/MMBtu)
Gasolinas automotrices (volumen-ventas int),0.05851065425013486,0.024962903689458492,0.08977422402522929,0.03915596634142529,0.009013349277689672,0.14354035834776224,0.040560071738726014,0.008904477646978153,1.0,0.2750746488484213,0.0,1.0,0.16022604481591957,0.2662418885067687,0.48079471170891536,0.040342600891334505,0.15187891416032692,0.6133178243782554,0.2283539617363451,0.07954651269996431,0.19361618801822156,0.24546627908076124,0.035316454373896855,0.007761021236308539,0.03235450345108224,0.033365090372061965,0.15302899867707243,0.10255405562734975,0.09597291015891528,0.14805860283773858,0.19470741074075845,0.13799641881164385,0.01580724048934882,0.020814872272338882,0.04418032559894864,0.040873608478775844,1.0,0.13720400063129604,0.04135072944320796,0.6403423769835568,0.2997931584504736,0.33854155045194284,0.053730773205724155,0.01890670836155665,0.13773766180073763,0.21684448064035988,0.032697253033027465,0.013369305328816266,0.012588403562761441,0.01720167813905449,0.01365841033988587,0.03324908384053337,0.3110663176411522
Pemex Magna (volumen-ventas int),0.07357576505969023,0.026450940278586372,0.17461407128139506,0.0406930913876488,0.013486071156941637,0.2751500649296337,0.08906797400019652,0.014720914659203528,0.8326699003898611,0.19619211189684013,1.0,0.0,0.22855349459331648,0.5544838229310527,0.5251474087712308,0.053880221032411545,0.2042462756353314,1.0,0.2886234274071435,0.1088732299850746,0.32229242876034137,0.5419878583005842,0.11469389161344674,0.011091914924073843,0.10508733612809203,0.11180616277805439,0.08024612666890359,0.30155455310903734,0.14518093067579682,0.1707691838424952,0.20950261084214852,0.26840930281400577,0.04055609986570072,0.044118716592352065,0.03912219509301666,0.030072787270453642,0.4841271351174133,0.12516560608847654,0.04805870764180802,1.0,0.31795606881102323,0.5505329830369471,0.09214896045743041,0.02426841157747127,0.363473161816646,0.4156204457114562,0.02457417871286093,0.023681091396730365,0.018475747612268133,0.017438967836113654,0.01523664057018517,0.07212816324423267,0.48223584635838196
Pemex Premium (volumen-ventas int),0.24870475557645455,0.12856148803764705,0.042488008851515914,0.23924113221190266,0.022132423917716967,0.11346803624144593,0.03519243219684356,0.01760055263648842,0.010742572494530402,0.16554792834434504,0.018015284250145105,0.00904997622242296,0.0,0.06032942827592877,0.010437488818344364,0.017271791837496886,0.24451902525438,0.03065574219719543,0.013408869956805805,0.015541194421454007,0.08238329183889329,0.1429372147197717,0.00813520360280324,0.02213609207204696,0.01106795323055233,0.012121032668561878,0.3724304449038118,0.014772136545424893,0.005353986911911939,0.01324435365853203,0.08902217099948555,0.028792185872659023,0.02041326067477843,0.026886613130685886,0.035983452190371724,0.03383881933718122,0.12536497330995847,0.17185305740207393,0.029725292906699875,0.034829661724992314,0.08543235790959504,0.13017034408800215,0.38434703397950687,0.02728530812841307,0.024415284579324664,0.03678280803376497,0.09759857364815866,0.00978155708555032,0.012266800544395724,0.022508558536648716,0.02269143876871472,0.013895964524809524,0.03901452541523358
Turbosina (volumen-ventas int),0.02034432283671344,0.027007230855008252,0.029182231298771136,0.04982452590091544,0.08159051323616366,0.02886127449180878,0.03328727126919752,0.08077810843110078,0.2577185332156399,0.7515828555061825,0.17673225001851514,0.20023320123551952,0.2975236773405049,0.0,0.1031143018243198,0.0405036752017002,0.41125497503833836,0.011418654772400663,0.010039996933889036,0.0111862485777326,0.06254563458307666,0.03601475878250426,0.14531890187792165,0.028018628239062218,0.1098029546093997,0.1269147657509083,0.09785873119270086,0.6711308389689405,0.16971484424764252,0.022636247654974725,0.20870394470640716,0.046737441508585394,0.006191490732865921,0.006023764877616135,0.04575987214798104,0.030276942155126052,0.6590107075650995,0.043414424429090985,0.04513136943261639,0.11968136731591322,0.03622613605635102,0.05391847726884147,0.10319348725665904,0.03587058301907695,0.22064177709698143,0.0744473389717382,0.10919083007991202,0.03351426443762088,0.0264139909436846,0.024980047989967835,0.011757992833080728,0.06462927583882785,0.09835543248184624
Diesel (volumen-ventas int),0.01821245452991816,0.01928994725397998,0.027785330807836964,0.06390559821825191,0.009406073188465423,0.04809169972773301,0.01541418567686786,0.009287917257045341,0.8333201721112716,0.16474512683405068,0.4075392882839936,0.40862980112320085,0.0743805253814058,0.15551545070109943,0.0,0.055678512578970676,0.11555022534478605,0.08835947627824195,0.016182159122339498,0.015463029568304278,0.10116127351024838,0.03912472652898041,0.08730101640417474,0.01933504357230369,0.07651339555346193,0.09651228097466062,0.109084560910838,0.057828914741172126,0.42031908763077597,0.16610810779807303,0.22121800390681223,0.30294914101508075,0.01430525882276708,0.010754477250237397,0.1053940057787407,0.03563876244161034,0.857108072723982,0.17803867698624393,0.025092263551666417,0.42294175688722885,0.08065756304783221,0.046229517265211434,0.07938160448086111,0.02232032142076554,0.39738307793409644,0.35746678656784314,0.01965316769496649,0.009096724666666315,0.009567763910066338,0.01682125691995584,0.022333391017361055,0.057818981648463386,0.3279819515633043
Combustóleo (volumen-ventas int),0.019916168267647437,0.018905646432120466,0.011991877601697978,0.05642208696194239,0.03425673517100159,0.04400164885269614,0.02664033411617651,0.024824252200491823,0.03587853335563637,0.5830158061272365,0.00733966255809436,0.008054618749954999,0.053407536357931086,0.015000671133572892,0.03175251969456953,0.0,0.13356993614965015,0.04030481513260322,0.017170599677495756,0.014445127561184006,0.10508229911829377,0.06773783435998608,0.005586101597635784,0.03514074164728669,0.0063175088744202275,0.006693150507059733,0.019987945166204453,0.009898487652171153,0.019508501129515448,1.0,0.06349006647749256,0.03738819263209124,0.00701860225503046,0.00604132130735186,0.03762039064915641,0.017154468804430525,0.06335927505242095,0.06820776524912064,0.05139284791083619,0.03168581928208702,0.12835400056515134,0.02859748699126285,0.05787956835340845,0.06693679382113746,0.024487682517710746,0.08288764865860572,0.03485390075493683,0.005247480530322488,0.004370633433347841,0.020643767130258225,0.01881056415344135,0.012850747446940633,0.04877744338238329
Otros (4) (volumen-ventas int),0.03488809681946675,0.013308036217075622,0.018411084567254373,0.1130707948493057,0.02260175975345939,0.04379537712858965,0.01639018880610536,0.024540953343053108,0.008356679691871424,0.10014579487165323,0.008875378293764542,0.0052086066547463806,0.07909407557126569,0.02023913779159936,0.014649022856202456,0.029094746962212908,0.0,0.044485537094986025,0.016747339384120447,0.020948034636760135,0.08585886995271451,0.0379914646882485,0.003394737796269697,0.029674266559339385,0.004875400171750429,0.00487607440179525,0.040857441414150104,0.011276116032181701,0.007621119163839005,0.020260011001274548,0.16746631718455338,0.08494332355715528,0.038147214088223476,0.042067346856986605,0.05296927064486652,0.050636422137195,0.136282852719811,0.07018252440314945,0.02135515951808552,0.036635439864982,0.0337846769832451,0.04421359133269737,0.098069670066464,0.024634638860698114,0.015260957088638014,0.07400553982906297,0.029391038343985966,0.004656820032076593,0.005255040989296898,0.0157968571720676,0.021396658861991585,0.0077016727857850825,0.06435220362604019
Gas natural (Mmpcd) (volumen-ventas int),0.0867524220912118,0.035038945032483025,0.24529621572866614,0.04185025409188813,0.016145151766880906,0.26911309567655345,0.2254911171556425,0.0209849381700478,0.06529126762286264,0.11011195396077297,0.11550018043897142,0.22284729402253445,0.06835277098669386,0.012274434136183551,0.035657514269020016,0.09772831442792543,0.2085256355039369,0.0,0.25540513222414685,0.17440680637593398,0.275321735677496,0.32983043578391535,0.008246508483513285,0.10303456729521504,0.007431293521180663,0.008186946546548685,0.06820345338623561,0.10136048031525804,0.024765564107707715,0.23516916121868217,0.040525859071810055,0.09130818570730825,0.028817321619193825,0.05543151227077953,0.038350099214435426,0.04825704755639805,0.20465008872211757,0.21729239432542832,0.05499404869047499,0.22886515587022163,0.9678316349837196,0.39327547784685885,0.04954511817892605,0.027251997964857336,0.011970052899684848,0.15523404095987414,0.2968067509955378,0.006985228932236611,0.007837998717460985,0.04192574829518595,0.055075980204079056,0.012511318815060523,0.3992037980343123
Petroquímicos (Mt) (volumen-ventas int),0.026608604582208185,0.016372556851548824,0.18519760595622292,0.054050082752193765,0.014001766725488961,1.0,0.08495483431656192,0.016554770417938326,0.0394892978844385,0.200709132745292,0.09526757210396936,0.13578706909573623,0.09224324106292459,0.01044443887372988,0.017939901948482034,0.04845465049938761,0.17992967069707982,0.8036905302952073,0.0,1.0,0.7189861625631562,0.6813001261136112,0.00204231846847263,0.018406909046343917,0.0036890077580804094,0.0029664378354871007,0.049793384800471956,0.01962083359629759,0.0037622624643993442,0.09884149242660283,0.05520458393640309,0.03494015299893415,0.16379549832803933,0.2507801789415366,0.03410585239434011,0.01682290451913257,0.10195039139823404,0.2802307760523545,0.07626943016350379,0.2589849623596185,0.3045653453766322,1.0,0.05412642983106597,0.029486081256622703,0.00892106292149787,0.032933711082486904,0.025661484073414353,0.004791933434088862,0.004499669193578851,0.011633849619200866,0.014528505008544424,0.011942799387726013,0.029064315796683348
Complejos Petroquímicos (5) (volumen-ventas int),0.023796973257430812,0.013026357173330273,0.05505606111474394,0.053528827628910584,0.009886037025880508,0.3831473217483793,0.042694084599026356,0.010944601045433384,0.020997930969319942,0.3275147614089743,0.04464042309009934,0.04236766239588062,0.06847632069381668,0.009143869992294345,0.014829934979022017,0.04272172909096792,0.3107893830416612,0.488046544446984,1.0,0.0,0.12173978475424262,0.09903727810832452,0.0022951619945266078,0.012910398214321633,0.0038695851283601906,0.0032805505707861164,0.04620433183092178,0.023460966066512646,0.0037661854450573274,0.06045559614411432,0.06433641112906885,0.03121598318136585,0.13949659428363753,0.2426319965375032,0.02504362030311512,0.020706059106006747,0.12421122499196569,0.2801474635422602,0.05664219782973809,0.24507809075003562,0.2611778745383542,0.6783104329269599,0.05774205643820052,0.021869870570264006,0.01043736831952769,0.04527629005991599,0.029604334833480545,0.00358806567810122,0.003266782445088132,0.01419289632254276,0.01029160717703076,0.010665903032822444,0.024733868196287798
Sistema Nacional de Refinación (volumen-ventas int),0.014381379454185356,0.01668590107259412,0.051215789278455374,0.030818705993781344,0.011156542958235443,0.1998755579032585,0.025135740493012225,0.011784753967136062,0.007817894764771512,0.11651324337245794,0.014478403246926324,0.015717280575516638,0.049786905631649836,0.006980597898461884,0.008563886453787566,0.05223574674333523,0.12073948450019616,0.07357987779758934,0.06772558780161458,0.022889352516819107,0.0,0.1459334964085896,0.002628598735026568,0.02019668137344385,0.004537934031180615,0.003832411562303471,0.034238089651838874,0.015505135765920448,0.0031644876622508194,0.02855570546048613,0.059545736539720374,0.05334117717514029,0.01796250169704453,0.009871478846007701,0.26843651905293175,0.026683815871735926,0.12094241344588519,0.3947063676026582,0.03946680939163387,0.035177346285730576,0.2608051661994508,0.05694065292854392,0.05902798068541328,0.03515390461268911,0.012147918093866403,0.11550369636423846,0.2528409978441008,0.017542339501553626,0.021034933059223458,0.021185250797542663,0.017032288564280663,0.020676807118044014,0.05196007802697309
Complejos Procesadores de Gas (6) (volumen-ventas int),0.019097294431650154,0.010372249029764994,0.49562112616121023,0.048678311115603584,0.018814014283839588,0.9980938351912693,0.2564259950255555,0.026820090044618602,0.0168667973652907,0.07439516346875188,0.05320737444940305,0.14186213144105939,0.8943110637042981,0.02218034789998396,0.010416779754023336,0.05503939602554986,0.133073402639066,0.3355608355497179,0.2260188313292984,0.044473895052765326,0.46807322207658636,0.0,0.0037050870028253087,0.01946146521280625,0.004671414211720417,0.0060038183295265625,0.25754728201385635,0.03972818326741356,0.004446409757425627,0.042528561451285384,0.05669754197326703,0.04783605456209417,0.03183292687706378,0.029113286707289507,0.0634456494803488,0.03006320848052435,0.12356767285826371,0.1074008597621089,0.06771382763681741,0.21455677366078774,0.11026406281632359,0.36570072821406086,0.056084872557291464,0.10475735695239144,0.009033113006386966,0.056396182901764035,0.032439183329590594,0.006983328393432508,0.00801549133922918,0.01255305397283014,0.024099658270055373,0.014490914098973658,0.10629382411384689
